               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079133,            0.030334,                   0,             0.22014,             0.45783,             0.22795,            0.078645,            0.022901,            0.013493,                   0,              0.0775,              0.0025,              0.0025
                   1,            0.050711,            0.024936,                   0,             0.60033,             0.56627,             0.56122,              0.2199,             0.02571,           0.0090671,                   0,            0.053595,           0.0045951,           0.0045951
                   2,            0.041911,            0.019579,                   0,             0.50078,             0.64057,             0.64758,             0.27961,            0.023432,           0.0049626,                   0,            0.029175,           0.0061754,           0.0061754
                   3,            0.040883,            0.017066,                   0,             0.80658,             0.83133,             0.90923,             0.45866,            0.015558,           0.0050671,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.038047,            0.015866,                   0,             0.89127,             0.92771,             0.93981,             0.54183,            0.014506,           0.0045521,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.031935,            0.015899,                   0,             0.95021,             0.91984,              0.9735,             0.57024,            0.012152,           0.0043899,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.025246,            0.014031,                   0,             0.97561,             0.96383,             0.99039,             0.52425,            0.014676,            0.004143,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.030619,            0.014223,                   0,             0.99475,             0.96386,             0.99406,              0.6346,            0.010446,           0.0036007,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.025969,            0.013723,                   0,             0.99447,             0.98795,             0.99465,             0.65236,            0.009404,           0.0035296,                   0,             0.00307,             0.00307,             0.00307
                   9,             0.02556,            0.013468,                   0,             0.98513,                   1,             0.99476,             0.67534,            0.008676,           0.0032722,                   0,             0.00208,             0.00208,             0.00208
